instance,populationSize,crossoverProb,mutationProb,run,hv,timeMillis,n_points,n_nd
instancia_mediana.json,60,0.7,0.05,0,300.0,365.0,1,1
instancia_mediana.json,60,0.7,0.05,1,250.0,341.0,1,1
instancia_mediana.json,60,0.7,0.05,2,275.0,337.0,1,1
instancia_mediana.json,60,0.7,0.05,3,350.0,333.0,1,1
instancia_mediana.json,60,0.7,0.05,4,275.0,331.0,1,1
instancia_mediana.json,60,0.7,0.05,5,340.0,350.0,2,2
instancia_mediana.json,60,0.7,0.05,6,250.0,337.0,1,1
instancia_mediana.json,60,0.7,0.05,7,300.0,334.0,1,1
instancia_mediana.json,60,0.7,0.05,8,275.0,331.0,1,1
instancia_mediana.json,60,0.7,0.05,9,350.0,338.0,1,1
instancia_mediana.json,60,0.7,0.05,10,325.0,367.0,1,1
instancia_mediana.json,60,0.7,0.05,11,250.0,329.0,1,1
instancia_mediana.json,60,0.7,0.05,12,125.0,338.0,1,1
instancia_mediana.json,60,0.7,0.05,13,300.0,327.0,1,1
instancia_mediana.json,60,0.7,0.05,14,275.0,357.0,1,1
instancia_mediana.json,60,0.7,0.05,15,350.0,327.0,1,1
instancia_mediana.json,60,0.7,0.05,16,200.0,397.0,1,1
instancia_mediana.json,60,0.7,0.05,17,325.0,337.0,1,1
instancia_mediana.json,60,0.7,0.05,18,275.0,331.0,1,1
instancia_mediana.json,60,0.7,0.05,19,350.0,344.0,1,1
instancia_mediana.json,60,0.7,0.05,20,350.0,332.0,1,1
instancia_mediana.json,60,0.7,0.05,21,275.0,347.0,1,1
instancia_mediana.json,60,0.7,0.05,22,350.0,340.0,1,1
instancia_mediana.json,60,0.7,0.05,23,345.0,401.0,2,2
instancia_mediana.json,60,0.7,0.05,24,300.0,341.0,1,1
instancia_mediana.json,60,0.7,0.05,25,350.0,330.0,1,1
instancia_mediana.json,60,0.7,0.05,26,270.0,399.0,2,2
instancia_mediana.json,60,0.7,0.05,27,275.0,336.0,1,1
instancia_mediana.json,60,0.7,0.05,28,325.0,348.0,1,1
instancia_mediana.json,60,0.7,0.05,29,300.0,334.0,1,1
instancia_mediana.json,60,0.7,0.1,0,325.0,348.0,1,1
instancia_mediana.json,60,0.7,0.1,1,300.0,333.0,1,1
instancia_mediana.json,60,0.7,0.1,2,350.0,337.0,1,1
instancia_mediana.json,60,0.7,0.1,3,325.0,355.0,1,1
instancia_mediana.json,60,0.7,0.1,4,300.0,335.0,1,1
instancia_mediana.json,60,0.7,0.1,5,325.0,343.0,1,1
instancia_mediana.json,60,0.7,0.1,6,225.0,372.0,1,1
instancia_mediana.json,60,0.7,0.1,7,350.0,346.0,1,1
instancia_mediana.json,60,0.7,0.1,8,350.0,356.0,1,1
instancia_mediana.json,60,0.7,0.1,9,250.0,344.0,1,1
instancia_mediana.json,60,0.7,0.1,10,175.0,356.0,1,1
instancia_mediana.json,60,0.7,0.1,11,250.0,337.0,1,1
instancia_mediana.json,60,0.7,0.1,12,345.0,407.0,2,2
instancia_mediana.json,60,0.7,0.1,13,325.0,355.0,1,1
instancia_mediana.json,60,0.7,0.1,14,325.0,344.0,1,1
instancia_mediana.json,60,0.7,0.1,15,300.0,337.0,1,1
instancia_mediana.json,60,0.7,0.1,16,350.0,336.0,1,1
instancia_mediana.json,60,0.7,0.1,17,300.0,364.0,1,1
instancia_mediana.json,60,0.7,0.1,18,350.0,339.0,1,1
instancia_mediana.json,60,0.7,0.1,19,275.0,342.0,1,1
instancia_mediana.json,60,0.7,0.1,20,300.0,361.0,1,1
instancia_mediana.json,60,0.7,0.1,21,325.0,369.0,1,1
instancia_mediana.json,60,0.7,0.1,22,250.0,356.0,1,1
instancia_mediana.json,60,0.7,0.1,23,269.0,391.0,2,2
instancia_mediana.json,60,0.7,0.1,24,300.0,335.0,1,1
instancia_mediana.json,60,0.7,0.1,25,350.0,354.0,1,1
instancia_mediana.json,60,0.7,0.1,26,275.0,340.0,1,1
instancia_mediana.json,60,0.7,0.1,27,325.0,349.0,1,1
instancia_mediana.json,60,0.7,0.1,28,145.0,415.0,2,2
instancia_mediana.json,60,0.7,0.1,29,350.0,333.0,1,1
instancia_mediana.json,60,0.7,0.2,0,325.0,349.0,1,1
instancia_mediana.json,60,0.7,0.2,1,350.0,361.0,1,1
instancia_mediana.json,60,0.7,0.2,2,275.0,346.0,1,1
instancia_mediana.json,60,0.7,0.2,3,275.0,359.0,1,1
instancia_mediana.json,60,0.7,0.2,4,275.0,366.0,1,1
instancia_mediana.json,60,0.7,0.2,5,350.0,357.0,1,1
instancia_mediana.json,60,0.7,0.2,6,350.0,363.0,1,1
