instance,populationSize,crossoverProb,mutationProb,U_stat,p_value,n_chosen,n_other
instancia_mediana.json,60,0.7,0.05,744.5,4.310732561098126e-06,30,30
instancia_mediana.json,60,0.7,0.1,734.5,8.899459005778482e-06,30,30
instancia_mediana.json,60,0.7,0.2,642.0,0.0017091571107728282,30,30
instancia_mediana.json,60,0.9,0.05,664.5,0.0006430966445602305,30,30
instancia_mediana.json,60,0.9,0.1,655.5,0.000982697142396098,30,30
instancia_mediana.json,60,0.9,0.2,618.0,0.005504405282723,30,30
instancia_mediana.json,60,1.0,0.05,605.0,0.010634906763839701,30,30
instancia_mediana.json,60,1.0,0.1,561.5,0.06348085979559703,30,30
instancia_mediana.json,60,1.0,0.2,620.5,0.006295276243697457,30,30
instancia_mediana.json,120,0.7,0.05,671.5,0.00037575013150051105,30,30
instancia_mediana.json,120,0.7,0.1,534.5,0.14423492421397965,30,30
instancia_mediana.json,120,0.7,0.2,514.0,0.2627110998763833,30,30
instancia_mediana.json,120,0.9,0.05,650.0,0.0015920091575120446,30,30
instancia_mediana.json,120,0.9,0.1,539.0,0.1343314008692406,30,30
instancia_mediana.json,120,0.9,0.2,502.0,0.3557248549364235,30,30
instancia_mediana.json,120,1.0,0.05,577.5,0.03764833304729632,30,30
instancia_mediana.json,120,1.0,0.2,438.0,0.8229865649848567,30,30
instancia_mediana.json,200,0.7,0.05,600.5,0.014972232032637181,30,30
instancia_mediana.json,200,0.7,0.1,586.0,0.021876455421357032,30,30
instancia_mediana.json,200,0.7,0.2,505.5,0.33226253533636396,30,30
instancia_mediana.json,200,0.9,0.05,512.5,0.30023305219821694,30,30
instancia_mediana.json,200,0.9,0.1,456.0,0.9167529246371892,30,30
instancia_mediana.json,200,0.9,0.2,423.0,0.596999648879219,30,30
instancia_mediana.json,200,1.0,0.05,403.5,0.3135327981674557,30,30
instancia_mediana.json,200,1.0,0.1,407.0,0.42909716387392793,30,30
instancia_mediana.json,200,1.0,0.2,481.0,0.5962750502285908,30,30
instancia_pequena.json,60,0.7,0.05,450.0,1.0,30,30
instancia_pequena.json,60,0.7,0.1,450.0,1.0,30,30
instancia_pequena.json,60,0.7,0.2,450.0,1.0,30,30
instancia_pequena.json,60,0.9,0.05,450.0,1.0,30,30
instancia_pequena.json,60,0.9,0.1,450.0,1.0,30,30
instancia_pequena.json,60,0.9,0.2,450.0,1.0,30,30
instancia_pequena.json,60,1.0,0.05,450.0,1.0,30,30
instancia_pequena.json,60,1.0,0.1,450.0,1.0,30,30
instancia_pequena.json,60,1.0,0.2,450.0,1.0,30,30
instancia_pequena.json,120,0.7,0.05,450.0,1.0,30,30
instancia_pequena.json,120,0.7,0.1,450.0,1.0,30,30
instancia_pequena.json,120,0.7,0.2,450.0,1.0,30,30
instancia_pequena.json,120,0.9,0.05,450.0,1.0,30,30
instancia_pequena.json,120,0.9,0.1,450.0,1.0,30,30
instancia_pequena.json,120,0.9,0.2,450.0,1.0,30,30
instancia_pequena.json,120,1.0,0.05,450.0,1.0,30,30
instancia_pequena.json,120,1.0,0.2,450.0,1.0,30,30
instancia_pequena.json,200,0.7,0.05,450.0,1.0,30,30
instancia_pequena.json,200,0.7,0.1,450.0,1.0,30,30
instancia_pequena.json,200,0.7,0.2,450.0,1.0,30,30
instancia_pequena.json,200,0.9,0.05,450.0,1.0,30,30
instancia_pequena.json,200,0.9,0.1,450.0,1.0,30,30
instancia_pequena.json,200,0.9,0.2,450.0,1.0,30,30
instancia_pequena.json,200,1.0,0.05,450.0,1.0,30,30
instancia_pequena.json,200,1.0,0.1,450.0,1.0,30,30
instancia_pequena.json,200,1.0,0.2,450.0,1.0,30,30
